MedicineID,Name,manufacturer_name,Price
64,"Seraris 10mg Tablet","Azaris Pharma",51
65,"Agroflox M Syrup","Agron Remedies Pvt Ltd",10.37
66,"Bronko Plus 2mg/100mg Tablet","Glaxo SmithKline Pharmaceuticals Ltd",5.81
67,"Zawyu 6mg Tablet",Wyupharama,130
68,"NO Dizz 8mg Tablet","Consern Pharma Limited",46
69,"Oaxime 100mg Tablet DT","Yester Pharma Pvt Ltd",128
70,"Signoflam-TH 8 Tablet","Lupin Ltd",269
71,"Halow 1.5mg Tablet","Sigmund Promedica",12.7
72,"Btclot XT Tablet","Incarnate Pharmachem Pvt Ltd",110
73,"DOCETERO 120 MG INJECTION","Hetero Drugs Ltd",14000
74,"Ektazo 4000mg/500mg Injection","Ekasar Lifescience",450
75,"Kdfit Tablet","Sudha Lifesciences Pvt Ltd",155
76,"Nervibur M 1500mcg/75mg Tablet","Burgeon Health Series Private Limited",154
77,"Predzen 4mg Tablet","Ikon Remedies Pvt Ltd",49.5
78,"Dolcare 20mg Tablet","Olcare Laboratories",31.25
79,"Etoblis TH 60mg/4mg Tablet","Syndicate Life Sciences Pvt Ltd",205
80,"Retoz-Neo 60 Tablet","Dr Reddy's Laboratories Ltd",128.25
81,"Nitopan 40mg Tablet","Aenor Pharmaceuticals Private Limited",54
82,"NV Cid Syrup","NV Pharmaceuticals",90
83,"Milpride 8 Tablet","Hamswell Lifecare",72
84,"Hiflo Z Capsule","Hippo Labs Pvt Ltd",69
85,"Novacillin Plus 4.5gm Injection","Radicura Pharma pvt ltd",426.6
86,"Cefia 100mg Tablet","Positif Life sciences",100
87,"Cefpoglen 200mg Tablet","Glenmark Pharmaceuticals Ltd",82.5
88,"Normogyl Suspension","Pharmasynth Formulations Ltd",22
89,"Fexitage OZ 200mg/500mg Tablet","Beulah Biomedics Ltd",168
90,"Jespas-D 80mg/250mg Tablet","Jeen Healthcare",59.9
91,"Euromet GP 1mg/500mg Tablet SR","Europa Healthcare Pvt Ltd",60
92,"Eradiclav DS Dry Syrup","Morepen Laboratories Ltd",109
93,"Dilmox 250mg Tablet DT","Dial Pharmaceuticals Pvt Ltd",42
94,"Oflip Suspension","Spire Pharma",29.4
95,"Coldrum Tablet","Assign Drug Industries Pvt Ltd",36
96,"Zeptin 200mg Tablet","Kentreck Laboratories Pvt Ltd",38
97,"Rabeva 20mg Tablet","Gnova Biotech",54
98,"Arteo LF 40 mg/240 mg Dry Syrup","Gujarat Terce Laboratories Ltd",135
99,"Fondaflo 2.5 Injection","Lupin Ltd",1042.7
100,"Anginac P 100mg/325mg Tablet","Enrico Pharmaceuticals",46.4
101,"Axzyb Tablet","Glenmark Pharmaceuticals Ltd",4200
102,"Nuprost Eye Drop","Micro Labs Ltd",292
103,"Stimucor 2.5 Tablet","Corona Remedies Pvt Ltd",199.01
104,"Nimron P 100mg/500mg Tablet","Avron Pharma Pvt Ltd",55
105,"Audipant 40mg Tablet","Matins Pharma",70
106,"Acepine-SP Tablet","Deon Healthcare",80
107,"Pelfix-OX Tablet DT","Apikos Pharma",145
108,"Cartiglad Tablet","Numera Life Sciences",169.9
109,"Offilox 200mg Capsule","Shiwalic Formulations Pvt Ltd",65
110,"Ceftrexa 1000mg Injection","R.T. Pharma",59
111,"Norgaby 75mg/10mg Tablet","Shinto Organics (P) Limited",121
112,"Zelglip 20mg Tablet","Bionext Pharma Pvt Ltd",113.3
113,"Wodopod 50mg Dry Syrup","Eveson Pharma",68
114,"Tosiban 6.75mg Injection","Zuventus Healthcare Ltd",1648.5
115,"Monozide 4mg Tablet","Group Pharmaceuticals Ltd",19
116,"Muchek-Cold Tablet","Mbco Lifesciences Pvt Ltd",55
117,"Canogen 20mg Tablet","Enrico Pharmaceuticals",48.65
118,"Tiptengio 25mg/5mg Tablet","Cipla Ltd",820
119,"Carbee 6.25mg Tablet","Ranmarc Labs",34.5
120,"Neo-Hp Kit","Parnasa Mediworld Pvt Ltd",190
121,"Roxyrol RT 150 mg/60 mg Tablet","Concept Pharmaceuticals Ltd",91
122,"Symopact D 30mg/20mg Capsule SR","Synex Global Services Llp",77
123,"Torway 20mg Tablet","Allysia Lifesciences Pvt Ltd",85
124,"Corolex T Syrup","Ambit Bio Medix",126.5
125,"Glimrex PM 1mg/500mg/15mg Tablet SR","In Med Therapeutics",79.45
126,"Cefistar-O Tablet","Gracious Pharmaceuticals",140
127,"Vermox 500mg Capsule","J.K. Drugs & Pharmaceutical Pvt Ltd",39
128,"Radifix OZ 200mg/500mg Tablet","Radico Remedies",149
129,"Cefpar 1gm Injection","Karnataka Antibiotics & Pharmaceuticals Ltd",44.62
130,"Kufwaq-BR Syrup","Rexit Pharmaceutical",65
131,"Levoke Oral Suspension","Lewis Bioserch Pharma Pvt Ltd",66.4
132,"Cefest 500mg Injection","Parex Pharmaceuticals Pvt Ltd",22.98
133,"Itracan 100mg Capsule","Cipla Ltd",53.33
134,"Clavmoxy Forte Syrup","Kiran Pharmaceutical",130
135,"Fram AT 5mg/50mg Tablet","Frank Medilink",27
136,"Clonam IR 2mg Tablet MD","Icon Life Sciences",49
137,"Fosmet Plus Injection","Cubit Healthcare",53.5
138,"Etlas 5mg Tablet","Advance Pharma",48
139,"Socon 200mg Tablet","Sovicare Pharmaceuticals",17
140,"Uva Cef CV 50mg/31.25mg Dry Syrup","Torrent Pharmaceuticals Ltd",90.55
141,"Odulox 20mg Tablet","Galcare Pharmaceutical Pvt Ltd",77.3
142,"Otic O 200mg/500mg Tablet","Haledew Remedies",75
143,"Desla 50mg Tablet ER","Curelogic Pharma",105
144,"Clavamo 1000mg/200mg Injection","Econ Healthcare Pvt Ltd",108.82
145,"Cibustal 0.3mg Tablet","Pulse Pharmaceuticals",90
146,"Recpar TH 100mg/4mg Tablet","Shiron Pharmaceuticals",154
147,"Insugen 30/70 Injection 100IU/ml",Biocon,518.6
148,"Dompan Forte Tablet","Medley Pharmaceuticals",120
149,"Dalsix 100 DT Tablet","Candle Pharmaceuticals",82
150,"Subiliv Syrup","Pray Healthcare",110
151,"Euroxim 200mg Tablet","Euro Organics",130.2
152,"Acio D 10mg/40mg Tablet","Arbour Pharmaceuticals Pvt Ltd",79
153,"Dikvin S 50mg/325mg/15mg Tablet","Vintas Pharmaceuticals Pvt. Ltd.",72.4
154,"L Montab Syrup","Kosmed Formulations",38
155,"Myokid 0.01% Eye Drop","Raymed Pharmaceuticals Ltd",200
156,"Terbitor 1% Cream","Sovicare Pharmaceuticals",86
157,"Vanvopram 5 Tablet","Vanprom Lifesciences Pvt Ltd",50.06
158,"Xmet-G 2/500 Tablet PR","Glenmark Pharmaceuticals Ltd",178.5
159,"Italin 10mg Tablet","Sanity Pharma",69.5
160,"Tocef 200mg Tablet","Synchem Lab",154
161,"Pax-D Capsule SR","Mrl Pharma Opc Pvt Ltd",170
162,"Dazone 6mg Oral Suspension","Mars Therapeutics & Chemicals Ltd",65
163,"Oripod Dry Syrup","Orion Biotech Pvt Ltd",62
164,"Odeworm 400mg Tablet","Vervetic Healthcare Pvt Ltd",7.95
165,"Doxynix 10mg/10mg/2.5mg Tablet","Sonixa Lifecare",95
166,"FX Daz M 10mg/120mg Tablet","Dermajoint India",240
167,"Amidine 5 Tablet","Iatric Pharmaceuticals",24
168,"Canozith 250 Tablet","Candela Healthcare",79
169,"Magicobal 1500mcg Injection","Pharmagic Lifesciences",49.4
170,"Lotan 50mg Tablet","Taurus Laboratories Pvt Ltd",7.5
171,"Ulciren Plus Oral Suspension","Aarotax Pharmaceutical Pvt Ltd",89
172,"Nazocept-P Nasal Drops","Zenstar Life Sciences",45
173,"Zimno P Syrup","Exsan Healthcare",58
174,"Pepsigard 1gm Tablet","SAF Fermion Ltd",66.5
175,"Calio 500mg Tablet","Osmed Formulations",19
176,"Herperax Tablet","Micro Labs Ltd",42.31
177,"Canflo B Cream",Medopharm,34.62
178,"DavaIndia Methylcobalamin+Pregabalin 1500mcg/75mg Tablet SR","Davaindia Generic Pharmacy",50
179,"Fuket Cream","Connote Healthcare",140
180,"Omevon 20mg Capsule","Von Remedies",31.5
181,"Klotin 100mg Injection","Neon Laboratories Ltd",63
182,"Novon 2mg Injection","Titan Bioscience Pvt Ltd",27
183,"Vinzole 20mg Capsule","Vintage Labs Pvt Ltd",54.43
184,"Ensera Forte 10mg Tablet","Bombay Tablet Mfg Co Pvt Ltd",81.5
185,"Pacadon-IV Infusion","Emenox Healthcare",216
186,"Clowin B Lotion","Winmac Laboratories Ltd",24.95
187,"Seralyse D 50mg/10mg Tablet","Prophex Health Care Pvt Ltd",60
188,"Zenali 500mg Tablet","Zenlabs Ethica Ltd",400
189,"Exobob 20mg Tablet",Exodrug,54
190,"Gluxit S 10mg/100mg Tablet","Eris Lifesciences Ltd",200
191,"Noblinac R 200mg/20mg Capsule SR","Biofield Pharma",77
192,"Suhagra 100 Tablet","Cipla Ltd",192
193,"Minipar-P Tablet","Servocare Lifesciences Pvt Ltd",28
194,"Vali MPS Syrup","Volks Biotech",110
195,"Omalen D 10mg/20mg Capsule","Alencure Biotech Pvt Ltd",72.5
196,"Rombispar 200mg Tablet","Rhombus Pharma Pvt Ltd",95.37
197,"Terfin Cream","West-Coast Pharmaceutical Works Ltd",99
198,"Celacob G 300mg/500mcg Tablet","Olens Healthcare Pvt Ltd",105
199,"Abflox 50mg Suspension","American Biocare",32
200,"Saneuron M 75mg Capsule","Sanat Products Ltd",84
201,"Geftin Tablet","Khandelwal Laboratories Pvt Ltd",3949
202,"Carvizole 12.5mg Tablet","Biotics Lab Life Services Private Limited",68
203,"StayHappi Glimepiride+Metformin 3mg/1000mg Tablet","Sarvagunaushdhi Pvt Ltd",50
204,"Zulta 375mg Tablet","Frank Medilink",410
205,"Clobitra 100 Capsule","Indoco Remedies Ltd",145
206,"Ceft S 1000mg/500mg Injection","JV Healthcare",128
207,"Homoline 600mg Tablet","Homogreen Pharmaceutical",345
208,"L Cetramac Syrup","Torque Pharmaceuticals Pvt Ltd",11.25
209,"Gatinase 0.3% Eye Drop","Synergy Pharmaceuticals",55
210,"Colisur Drop","Surge Biotech Pvt Ltd",27
211,"Gpzide 5mg Tablet","Ronak Laboratories",10
212,"Shizine-M Tablet","Shivon Lifesciences Pvt Ltd",95
213,"Rosumend-AS 20/75 Capsule","Mendcure Life Sciences Pvt Ltd",175
214,"Emfenacin 5mg Tablet","Emcure Pharmaceuticals Ltd",240
215,"Livopill Tablet","Ordain Health Care Global Pvt Ltd",315.7
216,"Mefnetra P Oral Suspension","Nectar Biopharma Pvt Limited",41.25
217,"ORIPHEX 250 MG DROP","Zydus Healthcare Limited",33
218,"Dtaxane 20mg Injection","Torrent Pharmaceuticals Ltd",2916
219,"Cyquel 100 Tablet PR","Cyrus Remedies",90
220,"Regrowee 5% Gel","West-Coast Pharmaceutical Works Ltd",600
221,"Ripra 20mg Tablet","Ochoa Laboratories Ltd",30.77
222,"Avisera Forte 15mg Tablet","Avalanche Pharmaceuticals",50.4
223,"Falciden 60mg Injection","Welgenic Pharma",155
224,"DavaIndia Azathioprine 50mg Tablet","Davaindia Generic Pharmacy",30
225,"Amphylate AX Syrup Sugar Free","Jabs Biotech Pvt Ltd",65
226,"C Get 50mg Tablet","Eumed Healthcare",290
227,"Flamox CV 375 Tablet","Glenmark Pharmaceuticals Ltd",136
228,"Nacnic 500mg/125mg Tablet","Nac International",310
229,"VIDA 50MG TABLET","Lupin Ltd",49.73
230,"Sorextil CV 500mg/125mg Tablet","Sonika Life Sciences Ltd",650
231,"Geriflo  Tablet SR","Alembic Pharmaceuticals Ltd",255.6
232,"K-Gem Tablet","Blue Cross Laboratories Ltd",57
233,"Lavitrit 500mg Tablet","Theon Pharmaceuticals Ltd.",129.1
234,"Colcin 200mg Tablet","Palco Healthcare",60
235,"Fluter 150mg Tablet",Bluewaterresearch,14
236,"Elspas C 2.5mg/5mg/10mg Tablet","Elkos Healthcare Pvt Ltd",39
237,"Cofheal D 2.5 mg/1.5 mg/10 mg Syrup","Heal  India  Laboratories",76.4
238,"Okavax Vaccine","Sanofi India  Ltd",1260
239,"Cin-CT 500mg/600mg Tablet","Sbp Healthcare Pvt Ltd",68
240,"Helkoss 25mg Injection","Lupin Ltd",3
241,"Aceclobest MR 100mg/325mg/250mg Tablet","BestoChem Formulations  India  Ltd",82.13
242,"Nexipride 100mg Tablet SR","Sun Pharmaceutical Industries Ltd",150
243,"Lezatis Tablet","Volentis Healthcare Pvt Ltd",95
244,"Zuef O 200mg Tablet DT","Zubit Lifecare",192
245,"Crifix O 200mg/200mg Tablet","Kris Pharma",154
246,"Proxym ER Tablet","Emcure Pharmaceuticals Ltd",284.4
247,"Fenela T 100mg/8mg Tablet","Integral Lifesciences",225
248,"Ivatryp D Tablet","Iva Healthcare Pvt. Ltd.",175
249,"Prasidel 20mg Tablet","Adesan Pharma",118
250,"DavaIndia Telmisartan+Cilnidipine+Chlorthalidone 40mg/10mg/12.5mg Tablet","Davaindia Generic Pharmacy",35
251,"Ciprolac 500mg Tablet","MDC Pharmaceuticals  Pvt Ltd",64.18
252,"Ketolac 30mg Injection","Intas Pharmaceuticals Ltd",32
253,"ZY Fsh R 75I.U Injection","Zydus Cadila",1978.2
254,"Adeone TAZ 1.125gm Injection","Adept Biocare",151
255,"Stpl 75mg Tablet","Glanto Pharmaceuticals",70.5
256,"Sporamiz 100mg Capsule","HBC Dermiza Healthcare Pvt Ltd",170
257,"NO SCARS Cream","Torque Pharmaceuticals Pvt Ltd",259
258,"Ticaford A 90mg/75mg Tablet","Leeford Healthcare Ltd",425
259,"Zilo F 10mg/120mg Tablet","Dr Kumars Pharmaceuticals",130
260,"Medther 150mg Injection","Medbionic Healthcare",94
261,"Skinflu 150mg Tablet","Sunniva Life Science",38
262,"Sleacold Oral Drops","Glacia Life Care",45
263,"Cerehenz 60mg Injection","La Renon Healthcare Pvt Ltd",979
264,"Glez 2.5mg Tablet","Aristo Pharmaceuticals Pvt Ltd",4.5
265,"Anxigo 0.125mg Tablet","Nectar Remedies Ltd",10
266,"Simtron Injection","Kenrox Healthcare Pvt. Ltd",21
267,"Yewbrain 800mg Tablet","Yew Lifesciences",79.5
268,"Etizest Forte 0.5mg/10mg Tablet","Consern Pharma Limited",120
269,"Nervend Plus Injection","Rhine Biogenics Pvt Ltd",75
270,"Feedigo Syrup","Myriad Hues Healthcare",89.9
271,"Theovog M 500mg/0.3mg Tablet SR","Theon Pharmaceuticals Ltd.",115
272,"Hycort 100mg Injection","Alkem Laboratories Ltd",40.92
273,"Duzela M 20 Capsule DR","Sun Pharmaceutical Industries Ltd",132
274,"Elvitam 500 Tablet","Ernst Pharmacia",120.18
275,"Cefrodox 200mg Tablet DT","Voxiva Pharmaceuticals",192
276,"Favizee 400mg Tablet","Zee Laboratories",1190
277,"Gutclear Syrup","Zuventus Healthcare Ltd",156.5
278,"Amoxtal-CA 500mg/125mg Tablet","Talson Pharmaceuticals",299
279,"Coldciz Plus Tablet","Intellect Lifescience",59
280,"Techlor 80 Tablet","Cipla Ltd",173
281,"Cefocolt 100mg Tablet","Positive Medicare Pvt Ltd",95.9
282,"Lostan 25 Tablet","Auspharma Private Limited",25.34
283,"Enselin 8mg Tablet","Torrent Pharmaceuticals Ltd",100
284,"Zenotic Kit 20mg/2ml Injection","Shreya Life Sciences Pvt Ltd",7.96
285,"Neobid OZ 200mg/500mg Tablet","Brussels Laboratories Pvt Ltd",67
286,"Cositra 200mg Tablet","Tripada Biotec Pvt Ltd",395
287,"Leaf 500mg Tablet","Laxian Healthcare",65.4
288,"Cefvil 200 Tablet DT","Fibovil Pharmaceuticals Pvt Ltd",97
289,"Rabizena D 10mg/20mg Tablet","Elder Pharmaceuticals Ltd",90
290,"Hymax 25 Tablet","Biomax Biotechnics Pvt Ltd",25
291,"Lemok 5mg/10mg Tablet","Torance Healthcare Pvt Ltd",95
292,"Sanilax 10mg Tablet","Sanity Pharma",45.6
293,"Spasact Oral Suspension","NV Lifecare Pvt Ltd",26
294,"Dolomide 100mg/500mg Tablet","Sun Pharmaceutical Industries Ltd",81
295,"Psychodol 5mg Tablet","Ikon Pharmachem Pvt Ltd",30
296,"Bufex C Tablet","CFPL Healthcare",24
297,"Vidinorm Ophthalmic Solution","Sentiss Pharma",422
298,"CC GO Tablet","Intas Pharmaceuticals Ltd",25.5
299,"Moxilium 125mg Tablet DT","Biochem Pharmaceutical Industries",15.93
300,"Dardflam Tablet","Healing Pharma India Pvt Ltd",100
301,"Cefipride CL 200mg/125mg Tablet","Pride Healthcare",237.6
302,"Poliovac PFS Vaccine","Serum Institute Of India Ltd",489.84
303,"Auxigin 300 SR Tablet","Alniche Life Sciences Pvt Ltd",105
304,"Morsin Tablet","Morecare Pharmatec Pvt Ltd",120
305,"Imipod 100mg Dry Syrup","Cista Medicorp",128.5
306,"Aripra MT 10mg Tablet","Sun Pharmaceutical Industries Ltd",60
307,"Olcox TH 60mg/4mg Tablet","Osvel Pharma",190
308,"Sitelol AM Tablet","Sanofi India  Ltd",58.07
309,"Radcal-Max Softgel Capsule","Radicool Pharmaceutical Pvt Ltd",275
310,"Richpan D 10mg/40mg Capsule","Biosafe Pharmaceuticals Pvt Ltd",80
311,"Lepox 150mg Tablet","Werke Healthcare",70
312,"Encetam 800mg Tablet","Ikon Remedies Pvt Ltd",115
313,"Acidopar 10mg Tablet","Acichem Laboratories",18
314,"Fiebre 650 Tablet","Veasley Pharmaceuticals Private Limited",16
315,"Revicof Syrup","Ravenbhel Pharmaceuticals Pvt Ltd",54
316,"Novarab D SR Tablet","Medinova Labs",65
317,"Acepanac-P Tablet","Akshita Remedies",42
318,"Oripect AX Syrup","Stanford Biotech Pvt Ltd",46.56
319,"Ceruvin 75 Tablet","Sun Pharmaceutical Industries Ltd",129.4
320,"Dilzem CD 90 Capsule ER","Torrent Pharmaceuticals Ltd",119.2
321,"Flupen 3mg Tablet","Lifecare Innovations Pvt Ltd",69.68
322,"Dolonix MF Oral Suspension","Blue Planet Laboratories Pvt. Ltd",43.9
323,"Vardine Ointment","Varenyam Healthcare Pvt Ltd",39.17
324,"B Zed Plus Oral Suspension","PRM Life Sciences Pvt Ltd",29
325,"Neoprine 50mg Tablet","Eumedica Pharmaceuticals",82.5
326,"Augumed 625mg Tablet","Medi Biotech Pvt Ltd",252
327,"Rhoneamox 500mg Capsule","Rx Healthcare Ltd",69
328,"Fulcef 500mg Tablet","Fine Formulations",749
329,"Ofka 200mg Tablet","Aishika Pharma",38
330,"LOFEQUIK 4MG/500MG TABLET","Sun Pharmaceutical Industries Ltd",52
331,"Kandor CZ 15mg/20mg Tablet","Kalpataru Formulations Pvt Ltd",35
332,"Sulflux 40mg Injection","Fawn Incorporation",44.25
333,"Pantest 40mg Tablet","Ester Formulations",48
334,"Predlast Eye Drop","Austrak Pvt Ltd",35
335,"Methyco 500mcg Injection","JK Biochem Healthcare Pvt Ltd",30
336,"Moxallit-CV 625 Tablet","Allito Biocare",155
337,"Typlin 25mg Tablet","Sterkem Pharma Pvt Ltd",25.56
338,"Terboril Syrup","Pranshu Healthcare",59
339,"Telmavas-H Tablet","Biochem Pharmaceutical Industries",174
340,"Voricet 5mg Tablet","In Med Therapeutics",38.5
341,"Strocit Injection","Sun Pharmaceutical Industries Ltd",283
342,"Ozacort 6mg Tablet","Vervetic Healthcare Pvt Ltd",89
343,"Zantof LB 200mg Tablet","Nexus India",41
344,"Dopakinde Injection","Nexokinde Healthcare Pvt Ltd",31.52
345,"Zynicor 5 Tablet","Zydus Cadila",366.7
346,"Taznex 250mg Injection","Biotic Healthcare",70
347,"Dentogel Liquid","Indoco Remedies Ltd",97.5
348,"Ufither 150mg Injection","Zeeford Life Sciences",90
349,"Arthrin Plus 100 mg/500 mg Tablet","Elan Pharma India Pvt Ltd",50
350,"Hytrin 2 Tablet",Abbott,326.63
351,"Amlol 25mg Tablet XL","Ambromide Pharma Private Limited",52
352,"Sherimont-L Kid Tablet","Sherim Squibss",49
353,"Cynoclav DS Syrup","Cynosure Organics Pvt Ltd",58.5
354,"Synpan-D Tablet","Senen Biotech",70
355,"Crinodef 6mg Tablet","Crinova Healthcare",80
356,"Storvas CV 10 Capsule","Sun Pharmaceutical Industries Ltd",170
357,"Rolmo F 145mg/10mg Tablet","Ablus Pharma",100
358,"Progab M 750mcg/150mg Tablet",Psycormedies,180
359,"Clastin 500mg/500mg Injection","Amon Biotech",1490
360,"Wypod 200mg Tablet","Yacca Pharmaceuticals Pvt Ltd",239
361,"Eclospan Cream","Dr Reddy's Laboratories Ltd",156
362,"Diziron Tablet","Glenmark Pharmaceuticals Ltd",168
363,"Propynate NF Cream","Hegde and Hegde Pharmaceutical LLP",152
364,"Oflokan 200mg Tablet","Fortune Life Sciences Private Limited",44
365,"Spnï¬x 200mg Tablet","Spencure Biotech Pvt. Ltd.",127
366,"Aldecef 200mg Tablet","Alde Medi Impex Ltd",159.3
367,"RELAX D TABCAP","Logos Pharma",45
368,"Ocicure-D Capsule","Scott Edil Pharmacia Ltd",66.3
369,"Cefria 50mg Dry Syrup","Riasmo Lifesciences",49
370,"Osani-NT 500mg/200mg Tablet","Sanify Healthcare Pvt  Ltd",100
371,"Megazolid Plus  Tablet","Aristo Pharmaceuticals Pvt Ltd",330
372,"Geocough AGL Syrup","Sigma Softgel Formulation",85
373,"Vitaresp M 10mg Tablet","Alembic Pharmaceuticals Ltd",125.13
374,"Fidonal Cream",Abbott,300
375,"Sabpan D 10mg/40mg Tablet","Olamic Pharma Pvt. Ltd.",66
376,"Furofed 250mg Tablet","Fedley Healthcare Private Limited",130
377,"Salvadol MR 100mg/325mg/250mg Tablet","Salvus Pharma",70
378,"Cefnew 200mg Tablet","Prism Life Sciences Ltd",95.23
379,"Axetum 250mg Tablet DT","Toronto Pharmaceuticals Private Limited",299
380,"Cefo-CV Tablet","Newgen Biotech Pvt. Ltd.",412
381,"Citrolac K Syrup","Meddox Formulations",118.6
382,"T2C-M 10/500 Tablet ER","Ipca Laboratories Ltd",162.1
383,"Cado-Z Suspension","Omenta Pharma Pvt Ltd",55
384,"Vertivor 8mg Tablet","JV Healthcare",49
385,"Jornox 8mg Tablet","Morecare Pharmatec Pvt Ltd",78
386,"Aldemox-LB Tablet","HS Aldem Healthcare",297
387,"Ancer L 5mg Tablet","Bio Vitamins",29.7
388,"Mxy Eye/Ear Drops","Alde Medi Impex Ltd",63
389,"Lupizep Plus 25 mg/0.5 mg Tablet","Lupin Ltd",140
390,"Miprost 200mcg Tablet","West-Coast Pharmaceutical Works Ltd",55
391,"Qucef 200mg Tablet","Quixotic Pharma Pvt Ltd",170
392,"M-Power Ointment","Zydus Cadila",104.1
393,"Placef-O Tablet","Pharma Planet India",95
394,"Rizkas M Tablet","Ignyte Pharma",60
395,"Rekmox 500mg Tablet","Rekvina Laboratories Ltd",90
396,"Duct CV 200mg/125mg Tablet","Atishya Biotech",185
397,"Vertell-D Tablet","Ellanjey Lifesciences",50
398,"Gidicon 25mg Tablet","Zen Pharma Pvt Ltd",15
399,"Eryn Suspension","Intas Pharmaceuticals Ltd",21.76
400,"Rapicon 150 Tablet","Haustus Biotech Pvt Ltd",22.5
401,"Frox Cvds 200 mg/125 mg Tablet","Serin Formulations Pvt Ltd",280
402,"C Off 200mg Tablet","Aztec Lifescience Pvt Ltd",50
403,"Velrab L 75mg/20mg Capsule SR","Osvel Pharma",179
404,"Jyocef-T 1000mg/125mg Injection","Biocin Genetics & Pharma",159
